runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
145,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,73.0,32.0,78.55,0,1,0,0,0,1,1967.0,1.0
195,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,84.0,95.0,73.3,0,1,0,0,0,1,1981.0,1.0
103,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,47.0,51.0,44.4,3,1,1,0,0,0,2014.0,1.0
102,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,89.0,63.0,78.65,0,1,0,1,0,0,1993.0,1.0
76,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,75.0,54.0,43.2,2,1,0,0,1,0,2014.0,0.0
102,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,27.0,27.0,41.1,3,1,0,1,0,0,2003.0,1.0
102,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,46.0,46.0,20.7,1,1,0,0,1,0,2011.0,1.0
40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,91.5,70.0,67.35,2,1,0,0,0,1,2006.0,0.0
107,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,68.0,68.0,50.25,0,1,0,0,0,1,1993.0,1.0
108,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,75.0,75.0,71.5,0,1,0,0,1,0,1992.0,1.0
73,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,57.0,35.0,41.1,2,1,1,0,0,0,2005.0,1.0
90,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,94.0,63.0,100.0,0,1,1,0,0,0,2018.0,0.0
89,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,92.0,92.0,80.0,0,1,1,0,0,0,2008.0,0.0
119,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,71.0,92.0,72.2,1,1,0,0,1,0,2017.0,0.0
119,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42.0,27.0,43.75,2,1,1,0,0,0,2004.0,1.0
81,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75.0,75.0,68.1,0,1,0,0,1,0,1988.0,1.0
123,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,82.5,77.0,51.4,1,1,1,0,0,0,2010.0,1.0
92,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,83.0,80.0,93.8,0,1,1,0,0,0,1951.0,1.0
98,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,22.0,22.0,47.2,2,1,0,0,0,1,2013.0,0.0
89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.5,29.0,48.7,0,1,0,1,0,0,1997.0,1.0
105,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,98.0,95.0,93.7,2,1,0,1,0,0,1964.0,1.0
82,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,67.0,89.0,86.8,0,1,0,0,0,1,1929.0,1.0
100,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68.0,68.0,63.9,2,1,0,1,0,0,2013.0,0.0
148,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,59.0,79.0,47.25,1,1,0,0,1,0,2004.0,1.0
117,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,56.0,56.0,66.8,2,1,0,0,1,0,2014.0,1.0
88,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,96.0,92.0,82.15,3,1,0,1,0,0,2015.0,0.0
90,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,54.5,63.0,62.95,0,1,0,0,0,1,1982.0,1.0
97,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,56.0,56.0,58.75,3,1,0,1,0,0,2013.0,0.0
102,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,67.0,49.5,48.85,1,1,0,0,0,1,2017.0,0.0
107,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,60.0,60.0,63.4,2,1,0,0,1,0,2014.0,1.0
99,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,55.0,10.0,49.3,0,1,0,0,1,0,1973.0,1.0
107,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,69.0,60.0,59.75,0,1,0,0,0,1,1984.0,1.0
97,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,100.0,73.0,91.55,0,1,0,0,0,1,1955.0,1.0
101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.0,20.0,49.0,1,1,1,0,0,0,2012.0,0.0
109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,67.0,57.0,54.5,1,1,0,0,0,1,2013.0,0.0
108,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,34.0,37.5,41.85,1,1,1,0,0,0,2004.0,1.0
98,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,71.0,63.0,61.55,0,1,1,0,0,0,2017.0,0.0
88,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,56.0,36.0,43.4,0,1,0,1,0,0,1994.0,1.0
